question,bonne_reponse,mauvaise_reponse1,mauvaise_reponse2,mauvaise_reponse3,mauvaise_reponse4,mauvaise_reponse5
Quel algorithme est le standard actuel pour le chiffrement symétrique (remplaçant le DES) ?,AES (Advanced Encryption Standard),RSA,MD5,SHA-256,Diffie-Hellman,DSA
Quelle est la particularité de la cryptographie asymétrique (comme RSA) ?,"Elle utilise une paire de clés : une publique pour chiffrer, une privée pour déchiffrer",Elle utilise la même clé pour chiffrer et déchiffrer,"Elle ne permet pas de chiffrer des données, seulement de les hacher",Elle est beaucoup plus rapide que la cryptographie symétrique,Elle nécessite une connexion physique entre les deux ordinateurs,Elle repose uniquement sur le chiffrement de César
"En cybersécurité, quel est le but principal d'une fonction de hachage (ex: SHA-256) ?",Générer une empreinte unique et irréversible d'une donnée,Chiffrer un message pour pouvoir le déchiffrer plus tard,Compresser un fichier pour qu'il prenne moins de place,Cacher une image à l'intérieur d'un autre fichier,Traduire un nom de domaine en adresse IP,Générer un tunnel sécurisé entre deux réseaux
Qu'est-ce que le 'sel' (salt) dans le stockage des mots de passe ?,Une donnée aléatoire ajoutée au mot de passe avant son hachage pour contrer les tables arc-en-ciel,Un algorithme de chiffrement militaire ultra-sécurisé,Une faille de sécurité permettant de contourner l'authentification,Un fichier caché contenant la clé privée de l'administrateur,Le fait de changer son mot de passe tous les 30 jours,Un pare-feu filtrant les attaques SQL
"Le système de cryptographie d'Enigma, utilisé pendant la Seconde Guerre mondiale, a été cassé principalement par les équipes de :",Alan Turing,Albert Einstein,John von Neumann,Kevin Mitnick,Edward Snowden,Tim Berners-Lee
Quelle technologie mathématique est de plus en plus utilisée pour remplacer RSA car elle offre une sécurité équivalente avec des clés beaucoup plus petites ?,La cryptographie sur les courbes elliptiques (ECC),L'algorithme de Shor,Le chiffrement de Vigenère,Le hachage quantique dynamique,Les arbres de Merkle,Le réseau de Feistel
Dans quel but utilise-t-on le protocole Diffie-Hellman ?,Pour échanger une clé secrète de manière sécurisée sur un canal non sécurisé,Pour chiffrer l'intégralité d'un disque dur,Pour hacher des mots de passe dans une base de données,Pour signer numériquement un contrat PDF,Pour détecter les intrusions sur un réseau,Pour casser les mots de passe par force brute
Qu'est-ce qu'une table arc-en-ciel (Rainbow Table) ?,Une structure de données précalculée utilisée pour retrouver rapidement un mot de passe à partir de son hash,Une table de routage permettant d'éviter les pare-feu,Une liste d'adresses IP bloquées par un serveur,Un outil de visualisation graphique du trafic réseau,Un tableau recensant toutes les failles zero-day d'une année,Une matrice de droits d'accès sous Linux
Quelle méthode consiste à tester absolument toutes les combinaisons possibles pour trouver un mot de passe ?,L'attaque par force brute,L'attaque par dictionnaire,L'attaque par rebond,Le Phishing,Le Social Engineering,L'attaque de l'homme du milieu
Le Chiffrement de Vernam (ou Masque Jetable) est considéré comme théoriquement inviolable à quelle condition ?,"La clé doit être purement aléatoire, de la même taille que le message, et utilisée une seule fois","La clé doit comporter au moins 12 caractères, des chiffres et des majuscules",Le message doit être envoyé via un réseau fibre optique isolé,L'ordinateur utilisé ne doit jamais être connecté à Internet,Il faut utiliser l'algorithme AES en mode CBC au préalable,Il faut que la clé soit un nombre premier très grand
