question,bonne_reponse,mauvaise_1,mauvaise_2,mauvaise_3,mauvaise_4,mauvaise_5
Unité d'une fréquence ?,Hertz,Seconde,Mètre,Volt,Watt,Joule
Inverse de la longueur d'onde ?,Nombre d'onde,La fréquence,La célérité,La phase,L'amplitude,Le retard
Premier harmonique d'un signal ?,Le fondamental,La moyenne,La constante,Le maximum,Le résidu,Le pic
Onde sur corde de guitare : transversale ou longitudinale ?,Transversale,Longitudinale,Circulaire,Rectiligne,Elliptique,Scalaire
Symbole de la masse linéique ?,µ,ρ,λ,m,M,k
Onde qui rencontre un obstacle fixe ?,Réflexion,Réfraction,Absorption,Polarisation,Atténuation,Dispersion
Force qui ramène un ressort à l'équilibre ?,Force de rappel,Force magnétique,Force de Coulomb,Force de pesanteur,Force d'inertie,Force de Lorentz
Direction de perturbation dans un ressort horizontal ?,Parallèle,Perpendiculaire,Verticale,Circulaire,Aléatoire,Oblique
Composant qui dissipe par effet Joule ?,Résistance,Condensateur,Inductance,Diode,Fil idéal,Interrupteur
Onde qui avance sans changer de forme ?,Onde progressive,Onde stationnaire,Onde évanescente,Onde amortie,Onde diffuse,Onde réfléchie
Deux charges de même signe font quoi ?,Se repoussent,S'attirent,S'annulent,S'échauffent,Pivotent,S'accouplent
Outil pour passer du potentiel au champ électrique ?,Gradient,Divergence,Rotationnel,Intégrale,Dérivée seconde,Produit vectoriel
Unité de la charge électrique ?,Coulomb,Volt,Ampère,Farad,Ohm,Tesla
Surface où le potentiel est identique partout ?,Surface équipotentielle,Surface plane,Surface chargée,Surface neutre,Surface conductrice,Surface nodale
Potentiel à l'infini pour une charge isolée ?,Nul,Infini,Positif,Négatif,Constante indéterminée,Maximal
Unité de la capacité d'un condensateur ?,Farad,Henry,Ohm,Siemens,Volt,Coulomb
Loi liant tension et intensité (conducteur ohmique) ?,Loi d'Ohm,Loi de Gauss,Loi d'Ampère,Loi de Faraday,Loi de Lenz,Loi de Coulomb
Porteurs de charge majoritaires dans un métal ?,Électrons,Ions positifs,Trous,Ions négatifs,Photons,Neutrons
Intensité dans un circuit série ?,Identique partout,Variable,Nulle,Divisionnaire,Maximale au générateur,Minimale à la fin
Que conserve la loi des mailles ?,La tension (énergie),La charge,Le courant,La matière,Le flux,La vitesse
Un aimant a toujours un pôle Nord et un pôle... ?,Sud,Est,Ouest,Charge,Masse,Neutre
Qu'est-ce qui crée un champ magnétique ?,Un courant électrique,Une charge fixe,Une résistance,Un isolant,Une différence de potentiel,Une onde sonore
Lignes de champ dans un solénoïde infini ?,Lignes droites,Cercles,Spirales,Paraboles,Ellipses,Points
Unité du flux magnétique ?,Weber,Tesla,Henry,Gauss,Volt,Watt
