question,bonne_reponse,mauvaise_reponse1,mauvaise_reponse2,mauvaise_reponse3,mauvaise_reponse4,mauvaise_reponse5
Qui est considéré comme le père fondateur de l'intelligence artificielle pour avoir proposé le 'test d'imitation' en 1950 ?,Alan Turing,John McCarthy,Marvin Minsky,Yann LeCun,Geoffrey Hinton,Andrew Ng
En quelle année le terme 'Intelligence Artificielle' a-t-il été officiellement adopté lors de la conférence de Dartmouth ?,1956,1945,1962,1971,1984,1999
Quel superordinateur d'IBM a battu le champion du monde d'échecs Garry Kasparov en 1997 ?,Deep Blue,Watson,AlphaGo,HAL 9000,Deep Mind,Blue Gene
Qu'appelle-t-on 'l'hiver de l'IA' (AI Winter) dans l'histoire de la technologie ?,Une période de baisse drastique des financements et de l'intérêt pour la recherche en IA,Une panne mondiale des serveurs de calcul en Europe du Nord,Le lancement du premier algorithme de détection du climat,Une compétition de programmation d'IA se déroulant en Sibérie,La supériorité des algorithmes russes pendant la guerre froide,L'interdiction éthique de l'IA par l'ONU dans les années 80
Quel exploit historique l'IA AlphaGo de Google DeepMind a-t-elle réalisé en 2016 ?,"Battre Lee Sedol, l'un des meilleurs joueurs mondiaux du jeu de Go",Résoudre intégralement le problème de la structure des protéines,Battre le champion du monde de poker en ligne,Piloter de manière 100% autonome un avion de ligne,Traduire instantanément 150 langues en temps réel,Générer un film complet à partir d'un simple texte
Quelle est la principale différence entre l'apprentissage supervisé et non supervisé ?,"L'apprentissage supervisé utilise des données étiquetées (labels), contrairement au non supervisé",L'apprentissage supervisé nécessite obligatoirement l'intervention humaine pendant le calcul,L'apprentissage non supervisé est uniquement réservé aux données textuelles,L'apprentissage supervisé est plus rapide mais beaucoup moins précis,L'apprentissage non supervisé n'utilise aucun algorithme mathématique,L'apprentissage supervisé s'exécute uniquement sur des cartes graphiques (GPU)
"En Machine Learning, qu'est-ce que le phénomène de 'surapprentissage' (overfitting) ?",Le modèle apprend par cœur les données d'entraînement et perd sa capacité de généralisation,Le modèle met trop de temps à s'exécuter sur la machine,Le modèle rejette automatiquement les données aberrantes,Le modèle donne exactement les mêmes prédictions pour toutes les entrées,Le modèle est trop simple pour capturer les tendances des données,L'utilisation excessive de mémoire vive par l'algorithme
Quel algorithme est basé sur la construction de multiples arbres de décision pour améliorer la précision de classification ?,Random Forest,Régression Linéaire,K-Means,Perceptron,SVM (Support Vector Machine),PageRank
À quoi sert principalement l'algorithme des K-Moyennes (K-Means) ?,Au partitionnement de données (clustering) en groupes homogènes,À la prédiction d'une valeur numérique continue,À la classification de spams dans les emails,À la réduction de dimension par projection orthogonale,Au calcul du plus court chemin dans un graphe de neurones,À l'optimisation des poids par descente de gradient
Quelle métrique calcule le ratio des vrais positifs sur l'ensemble des prédictions positives ?,La précision,Le rappel (Recall),Le score F1,L'erreur quadratique moyenne (MSE),L'exactitude (Accuracy),La variance
