question,bonne_reponse,mauvaise_reponse1,mauvaise_reponse2,mauvaise_reponse3,mauvaise_reponse4,mauvaise_reponse5
Quelle est la principale différence entre une architecture de Harvard et celle de von Neumann ?,L'architecture de Harvard possède des bus séparés pour les données et les instructions,L'architecture de Harvard ne peut exécuter que du code 64 bits,L'architecture de von Neumann n'a pas de mémoire cache,L'architecture de Harvard est exclusivement réservée aux ordinateurs quantiques,L'architecture de von Neumann utilise uniquement des registres analogiques,"Il n'y a aucune différence matérielle, ce sont des choix logiciels"
"Dans un microcontrôleur, quel est le rôle principal du Watchdog Timer (Chien de garde) ?",Redémarrer automatiquement le système si le programme principal plante ou se bloque dans une boucle infinie,Surveiller les intrusions réseau via le port Ethernet,Garder l'heure exacte (RTC) même sans alimentation,Mesurer le temps d'exécution d'une fonction mathématique,Détecter les baisses de tension de la batterie,Générer des nombres aléatoires sécurisés
Que signifie le sigle DMA dans le contexte des systèmes embarqués ?,Direct Memory Access (transfert de données sans solliciter le processeur),Digital Multimeter Application,Dynamic Memory Allocation,Dual Microcontroller Architecture,Data Management API,Discrete Mathematical Algorithm
À quoi sert la technique du PWM (Pulse Width Modulation) pour piloter une LED ou un moteur depuis une broche numérique ?,À simuler une tension analogique variable en modifiant le rapport cyclique d'un signal carré,À augmenter la tension maximale fournie par la broche d'alimentation,À chiffrer les données envoyées au moteur pour des raisons de sécurité,À réduire la consommation mémoire du microcontrôleur,À transformer un courant continu en courant alternatif 220V,À détecter si la LED est grillée ou non
"Lorsqu'une interruption (Interrupt) matérielle survient, que fait le processeur avant d'exécuter l'ISR (Interrupt Service Routine) ?","Il sauvegarde le contexte actuel (registres, pointeur d'instruction) dans la pile (Stack)",Il redémarre instantanément pour purger la mémoire cache,Il ferme toutes les connexions réseau actives,Il compile le code de l'interruption à la volée,Il désactive définitivement l'alimentation des périphériques non essentiels,Il attend que le programme principal soit complètement terminé
Quel composant convertit une grandeur physique continue (comme une tension de capteur) en un nombre binaire compréhensible par le processeur ?,L'ADC (Analog-to-Digital Converter),Le DAC (Digital-to-Analog Converter),Le PLL (Phase-Locked Loop),Le LDO (Low-Dropout Regulator),Le comparateur logique,Le pont en H
"Dans le contexte du stockage des données en mémoire, que signifie 'Little Endian' ?",L'octet de poids faible (LSB) est stocké à l'adresse mémoire la plus petite,L'octet de poids fort (MSB) est stocké à l'adresse mémoire la plus petite,Le processeur ne peut traiter que des données de 8 bits (petites données),La mémoire est fragmentée en petits blocs de taille fixe,Les variables sont stockées à la fin de la pile (Stack),Les instructions sont compressées pour prendre moins de place
Qu'est-ce qu'un Bootloader dans un système embarqué ?,Un petit programme exécuté au démarrage qui permet de charger ou mettre à jour le firmware principal (ex: via USB ou UART),Un circuit matériel qui protège la carte contre les surtensions au démarrage,Une interface graphique permettant de dessiner le schéma électronique,Un registre spécial contenant la clé de chiffrement du processeur,Un protocole réseau dédié à la communication entre deux cartes mères,Une batterie de secours soudée sur le circuit imprimé
"Quel protocole de communication série synchrone utilise généralement 4 fils : MOSI, MISO, SCK et CS (Chip Select) ?",SPI (Serial Peripheral Interface),I2C (Inter-Integrated Circuit),UART,CAN bus,USB,1-Wire
Quelles sont les deux broches (lignes) nécessaires pour une communication I2C ?,SDA (Données) et SCL (Horloge),TX (Transmission) et RX (Réception),D+ et D-,MISO et MOSI,CAN_H et CAN_L,VCC et GND exclusivement
Quel paramètre est crucial et doit être identique entre deux appareils communiquant en UART (Asynchrone) ?,Le Baud rate (Vitesse de transmission),L'adresse MAC,Le niveau de tension d'alimentation (VCC),La fréquence d'horloge du processeur (CPU frequency),Le nombre de registres internes,La taille de la mémoire Flash
"Quel bus de communication, particulièrement robuste aux interférences, est le standard historique de l'industrie automobile ?",Le bus CAN (Controller Area Network),Le bus I2C,Le protocole MIDI,L'Ethernet 10Base-T,Le bus PCI Express,Le RS-232
À quoi sert principalement l'interface JTAG sur une carte électronique ?,Au débogage matériel pas-à-pas et à la programmation (flash) du composant,À alimenter la carte avec une tension de 12V,À connecter la carte à un réseau Wi-Fi local,À transmettre de l'audio haute fidélité,À augmenter la quantité de RAM disponible,À brancher un écran VGA ou HDMI
"En transmission radio, que signifie BLE ?",Bluetooth Low Energy,Broadband Local Ethernet,Binary Logic Execution,Basic Loop Environment,Bandwidth Level Estimator,Baud-rate Line Equalizer
Quel protocole de communication différentiel est souvent utilisé dans le milieu industriel pour transmettre des données sur de longues distances (jusqu'à 1200 mètres) ?,RS-485,RS-232,USB 2.0,I2C,SPI,HDMI
Que signifie l'acronyme FPGA ?,Field Programmable Gate Array,Fast Processing Graphics Accelerator,Floating Point General Architecture,Frequency Phase Generated Audio,Flexible Programmable Graphic Array,Flash Protected Generic ASIC
"Contrairement à un programme C sur microcontrôleur qui s'exécute séquentiellement, quelle est la caractéristique fondamentale d'un code VHDL sur FPGA ?","L'exécution est concurrente (ou parallèle), le code décrit un matériel physique","Il ne peut effectuer que des additions, aucune autre opération mathématique",Il nécessite un système d'exploitation (OS) pour fonctionner,Le code doit être recompilé par le processeur toutes les millisecondes,Il est interprété ligne par ligne à l'exécution comme du Python,"Il ne peut pas interagir avec des composants externes (LEDs, boutons)"
"Quel est le bloc logique de base programmable à l'intérieur d'un FPGA, contenant généralement des tables de vérité (pour créer n'importe quelle fonction logique) ?",La LUT (Look-Up Table),L'ALU (Arithmetic Logic Unit),Le Cache L1,Le DAC (Digital-to-Analog Converter),Le contrôleur d'interruptions,Le pont Diviseur de Tension
"Quel logiciel, développé par Altera (désormais Intel), est couramment utilisé pour la synthèse et le routage de projets FPGA (souvent associé aux cartes DE1 ou DE10) ?",Quartus Prime,Vivado,STM32CubeIDE,Arduino IDE,Keil uVision,MPLAB X
"En VHDL, à quoi sert la ""liste de sensibilité"" (Sensitivity list) dans un bloc 'process' ?","À lister les signaux qui, lorsqu'ils changent d'état, déclenchent l'évaluation du process",À définir la tension maximale tolérée par les broches du FPGA,À indiquer les broches sensibles aux interférences électromagnétiques,À stocker les mots de passe de sécurité du flux binaire (bitstream),À choisir quelles variables seront exportées vers le langage C,À régler le volume des alertes sonores de compilation
"Dans une machine à états finis (FSM) de type 'Moore', de quoi dépendent exclusivement les sorties ?",Uniquement de l'état présent (actuel) de la machine,Des entrées uniquement,De l'état présent ET des entrées,Du résultat de l'ALU,De la température du composant,Du niveau de batterie restant
"Lorsqu'on programme en FPGA (VHDL/Verilog), qu'est-ce qu'une Bascule D (D Flip-Flop) ?",L'élément mémoire de base qui copie l'entrée D sur la sortie Q à chaque front d'horloge,Un composant permettant d'inverser le sens de rotation d'un moteur,Une porte logique qui réalise un OU exclusif (XOR),Un convertisseur analogique-numérique rapide,Un amplificateur opérationnel,Un régulateur de tension asynchrone
"Quel problème critique, souvent résolu par des synchroniseurs (série de bascules), survient lorsqu'un signal traverse des zones contrôlées par des horloges différentes sur un FPGA ?",Le Clock Domain Crossing (CDC) et les risques de métastabilité,La surchauffe immédiate de la puce de silicium,L'inversion spontanée des signaux haut et bas,La désynchronisation de l'adresse MAC,La conversion accidentelle d'un signal analogique en numérique,L'effacement complet de la mémoire Flash
"En logique combinatoire pure (sans horloge), que produit une porte XOR (OU Exclusif) si ses deux entrées sont à '1' ?",0,1,Haute impédance (Z),Indéterminé (X),-1,Une oscillation infinie
"En programmation C pour l'embarqué, pourquoi utilise-t-on souvent le mot-clé `volatile` devant la déclaration d'un registre matériel ?","Pour forcer le compilateur à relire la variable en mémoire à chaque accès, évitant qu'il ne l'optimise (puisqu'elle peut changer matériellement)",Pour indiquer que la variable va prendre beaucoup de place en mémoire vive,Pour chiffrer la variable et empêcher son accès par un pirate,Pour stocker la variable directement dans la mémoire ROM au lieu de la RAM,Pour permettre à la variable de stocker des nombres décimaux à virgule flottante,Pour exécuter le code plus rapidement grâce à l'overclocking
"Comment, en langage C, peut-on forcer à '1' uniquement le 3ème bit (bit numéro 3) du registre PORTA, sans modifier les autres bits ?",PORTA |= (1 << 3);,PORTA &= ~(1 << 3);,PORTA = 3;,PORTA ^= (1 << 3);,PORTA += 8;,PORTA[3] = 1;
"Dans le contexte des RTOS (Systèmes d'Exploitation Temps Réel), qu'est-ce qu'un Mutex ?",Un mécanisme de synchronisation permettant de garantir l'accès exclusif à une ressource partagée,Une erreur fatale provoquée par une division par zéro,Un périphérique matériel générant des sons,Un algorithme de chiffrement asymétrique,Le fait qu'une tâche basse priorité bloque une tâche haute priorité,Un pointeur de fonction utilisé dans les interruptions
Quel opérateur bit à bit est représenté par le symbole `&` en C ?,Le ET logique bit à bit (Bitwise AND),Le OU logique bit à bit (Bitwise OR),Le OU exclusif bit à bit (Bitwise XOR),Le décalage à gauche (Left shift),La négation logique (NOT),L'adresse d'un pointeur uniquement
"Sur une architecture de microcontrôleur 32 bits (comme un ARM Cortex-M), quelle est généralement la taille d'un pointeur (par exemple `int *ptr`) ?",4 octets (32 bits),2 octets (16 bits),8 octets (64 bits),1 octet (8 bits),Cela dépend de la valeur pointée,16 octets (128 bits)
"Pourquoi l'utilisation de l'allocation dynamique de mémoire (`malloc`, `free`) est-elle fortement déconseillée ou interdite dans les systèmes embarqués critiques (avionique, médical) ?","À cause des risques de fragmentation de la mémoire et de fuites, rendant le comportement temporel imprédictible",Parce que les microcontrôleurs n'ont physiquement pas de mémoire RAM,Parce que le langage C ne supporte plus ces fonctions depuis la norme C99,À cause de la surconsommation électrique qu'elle engendre,Parce que cela empêche l'utilisation du Watchdog Timer,Parce qu'elle ralentit considérablement la conversion ADC
Qu'est-ce que le phénomène d'inversion de priorité (Priority Inversion) dans un RTOS ?,"Lorsqu'une tâche de faible priorité détient une ressource bloquant ainsi une tâche de haute priorité, souvent exacerbée par une tâche de priorité moyenne",Le système d'exploitation décide de lancer les tâches aléatoirement,Le registre contenant les priorités subit un dépassement de capacité (overflow),Le Watchdog réinitialise les priorités à zéro,Le fait que les interruptions matérielles ne soient plus traitées,L'inversion du sens de rotation d'un moteur sans avertissement
Que signifie la compilation croisée (Cross-Compilation) très utilisée en embarqué ?,Compiler sur un ordinateur hôte (ex: PC x86) un programme destiné à être exécuté sur une architecture cible différente (ex: ARM),Compiler simultanément du code C et du code VHDL,Vérifier le code avec deux compilateurs différents (ex: GCC et Clang) pour comparer les erreurs,Compiler un code source directement depuis le microcontrôleur lui-même,Croiser les données de la RAM avec celles de la ROM pour gagner de la place,Transformer du code assembleur en langage naturel
Quel problème grave survient lors d'un 'Stack Overflow' (Débordement de pile) dans un microcontrôleur ?,"La pile grandit trop (souvent à cause de récursions infinies) et écrase d'autres variables en mémoire, causant un plantage",Le microcontrôleur surchauffe et fond physiquement,La vitesse d'horloge dépasse les spécifications constructeur,Le registre de la pile se réinitialise à zéro silencieusement,La batterie se décharge en quelques secondes,L'écran LCD connecté affiche des caractères corrompus uniquement
Que stipule la loi d'Ohm ?,U = R x I (Tension = Résistance x Intensité),P = U x I (Puissance = Tension x Intensité),E = mc²,U = I / R (Tension = Intensité / Résistance),La somme des courants entrant dans un nœud est nulle,La résistance d'un fil dépend de sa couleur
