question                                                                                                    , bonne_reponse                                                                , mauvaise_reponse_1                           , mauvaise_reponse_2                        , mauvaise_reponse_3                        , mauvaise_reponse_4                          , reponse_trolle
"Quel langage a été créé par Guido van Rossum en 1991 ?"                                                    , "Python"                                                                     , "Ruby"                                       , "Perl"                                    , "PHP"                                     , "Lua"                                       , "Celui que tout le monde met sur son CV sans savoir ce qu'est un générateur"
"Quelle entreprise a créé le langage Go ?"                                                                  , "Google"                                                                     , "Microsoft"                                  , "Apple"                                   , "JetBrains"                               , "Meta"                                      , "Celle qui voulait remplacer C++ sans les douleurs"
"Que fait 'git rebase' ?"                                                                                   , "Réécrit l'historique de commits linéairement"                               , "Fusionne deux branches"                     , "Annule un commit"                        , "Crée une branche"                        , "Supprime des commits"                      , "La commande interdite en équipe"
"Quel algorithme est utilisé par défaut dans la plupart des langages pour trier ?"                          , "Timsort"                                                                    , "Quicksort"                                  , "Mergesort"                               , "Heapsort"                                , "Bubblesort"                                , "Celui qu'on réinvente à chaque entretien"
"Quel langage est utilisé pour écrire les smart contracts Ethereum ?"                                       , "Solidity"                                                                   , "JavaScript"                                 , "Python"                                  , "Go"                                      , "Rust"                                      , "Celui qui a causé des milliards de pertes par bugs"
"Quelle est la différence entre un processus et un thread ?"                                                , "Le thread partage la mémoire du processus"                                  , "Le thread a sa propre mémoire"              , "Le processus est plus léger"             , "Ils sont identiques"                     , "Le processus ne peut pas être parallèle"   , "C'est la même chose sauf que non"
"Que signifie l'acronyme CSRF ?"                                                                            , "Cross-Site Request Forgery"                                                 , "Cross-Site Resource Fetch"                  , "Client-Side Request Failure"             , "Core Security Request Filter"            , "Cross-Server Response Forgery"             , "L'attaque que le formulaire sans token mérite"
"Quel est le rôle d'un index dans une base de données ?"                                                    , "Accélérer les recherches"                                                   , "Sécuriser les données"                      , "Compresser les données"                  , "Dupliquer les tables"                    , "Chiffrer les colonnes"                     , "La chose qu'on oublie jusqu'au premier ralentissement en prod"
"Qu'est-ce qu'un deadlock ?"                                                                                , "Deux processus bloqués s'attendant mutuellement"                            , "Un crash mémoire"                           , "Une boucle infinie"                      , "Un overflow de pile"                     , "Une fuite mémoire"                         , "Deux threads qui font la gueule indéfiniment"
"Que signifie l'acronyme HTML ?"                                                                            , "HyperText Markup Language"                                                  , "HighText Machine Language"                  , "HyperText Memory Link"                   , "Hybrid Text Management Language"         , "Home Tool Markup Language"                 , "Le truc que ton cousin utilise pour se dire ""développeur"""
"Quel est le rôle principal d'une RAM dans un ordinateur ?"                                                 , "Stocker temporairement les données pour un accès rapide"                    , "Stocker définitivement les fichiers"        , "Refroidir le processeur"                 , "Calculer les graphismes des jeux"        , "Alimenter les ports USB"                   , "L'onglet Chrome de trop qui fait ramer ton PC"
"Quel protocole sécurise la navigation sur un site web avec un cadenas ?"                                   , "HTTPS"                                                                      , "FTP"                                        , "SMTP"                                    , "SSH"                                     , "DNSSEC"                                    , "Le protocole qui te rassure avant d'entrer ta carte bleue sur un site louche"
"En informatique, qu'est-ce qu'un ""Bug"" ?"                                                                , "Une erreur ou un défaut dans un programme"                                  , "Un virus espion"                            , "Un composant matériel cassé"             , "Une mise à jour système"                 , "Un e-mail indésirable"                     , "Une ""fonctionnalité non documentée"", selon le service marketing"
"Quelle combinaison de touches permet de copier un élément sous Windows ?"                                  , "Ctrl + C"                                                                   , "Ctrl + V"                                   , "Ctrl + X"                                , "Ctrl + Z"                                , "Ctrl + P"                                  , "Le raccourci qui a financé 90% des diplômes universitaires"
"Quel est le système d'exploitation mobile open-source développé par Google ?"                              , "Android"                                                                    , "iOS"                                        , "Windows Phone"                           , "Ubuntu Touch"                            , "Symbian"                                   , "Le système qui fait dire aux utilisateurs d'Apple : ""Ouais mais la qualité des photos sur Snap..."""
