question,bonne_reponse,mauvaise_reponse1,mauvaise_reponse2,mauvaise_reponse3,mauvaise_reponse4,mauvaise_reponse5
"Quel système, inventé en 1968 par Ivan Sutherland, est considéré comme le premier visiocasque (HMD) de réalité virtuelle et augmentée ?",L'Épée de Damoclès,Le Sensorama,Le Virtual Boy,L'Oculus Rift,Le View-Master,Le CAVE
"En 1995, quelle entreprise japonaise a sorti la console 'Virtual Boy', qui affichait des graphismes stéréoscopiques rouges et noirs mais fut un échec commercial ?",Nintendo,Sega,Sony,Atari,Panasonic,Bandai
"Que signifie l'acronyme CAVE dans le domaine de la réalité virtuelle, inventé en 1992 ?",Cave Automatic Virtual Environment (une pièce où les murs sont des écrans de projection),Computer Augmented Virtual Experience,Calculated Audio-Visual Engine,Centralized Artificial Vision Equipment,Cybernetic Avatar Virtual Entity,Cinematic Alternate Viewport Environment
"Quel entrepreneur a lancé la campagne Kickstarter de l'Oculus Rift en 2012, relançant ainsi l'intérêt mondial pour la VR ?",Palmer Luckey,Mark Zuckerberg,John Carmack,Gabe Newell,Tim Sweeney,Jaron Lanier
Quelle est la différence fondamentale entre la Réalité Virtuelle (VR) et la Réalité Augmentée (AR) ?,"La VR plonge l'utilisateur dans un monde 100% virtuel, l'AR superpose des éléments virtuels sur le monde réel","La VR nécessite un PC, l'AR fonctionne uniquement sur smartphone","La VR est en 3D, l'AR est obligatoirement en 2D","La VR est réservée aux jeux vidéo, l'AR à l'industrie","La VR utilise des hologrammes physiques, l'AR utilise des écrans","Il n'y a aucune différence, ce sont deux termes marketing pour la même technologie"
"Comment appelle-t-on le concept englobant la VR, l'AR et la MR (Mixed Reality) sous un même spectre ?",XR (Extended Reality),Metaverse,Hyper Reality,Omni-Reality,Cyber-Reality,Synthetic Reality
Combien de degrés de liberté (DoF) possède un casque VR autonome moderne comme le Meta Quest 3 pour suivre à la fois la rotation et la position de la tête ?,6 DoF,3 DoF,9 DoF,12 DoF,2 DoF,4 DoF
"Dans un casque VR, à quoi sert le réglage de l'IPD (Interpupillary Distance) ?",À aligner le centre optique des lentilles avec l'écartement naturel des yeux de l'utilisateur,À régler la netteté en fonction de la myopie de l'utilisateur,À ajuster le volume audio spatialisé,À modifier le taux de rafraîchissement des écrans,À calibrer les capteurs de mouvement des manettes,À filtrer la lumière bleue pour éviter la fatigue visuelle
Qu'est-ce que l'Effet Écran-Porte (Screen-Door Effect) en réalité virtuelle ?,La perception de la grille de séparation noire entre les pixels à cause de la proximité de l'écran avec les yeux,La sensation d'être enfermé dans une pièce virtuelle sans issue,Un bug graphique qui rend les textures transparentes,Le décalage entre le mouvement réel et l'affichage virtuel,La buée qui se forme sur les lentilles pendant l'effort,L'éblouissement provoqué par le passage d'une zone sombre à une zone claire
"Quel composant matériel (puce) regroupe des accéléromètres, des gyroscopes et parfois des magnétomètres pour mesurer l'orientation du casque ?",L'IMU (Inertial Measurement Unit),Le GPU (Graphics Processing Unit),Le LIDAR,Le DSP (Digital Signal Processor),L'ASIC,Le CMOS
Quelle technologie d'écran est très prisée dans les casques VR haut de gamme grâce à ses noirs parfaits et son temps de réponse quasi instantané ?,OLED (ou Micro-OLED),LCD IPS,Plasma,E-Ink,TFT TN,Tube Cathodique (CRT)
Que signifie le terme 'Inside-Out Tracking' pour un casque VR ?,"Le casque suit sa position dans l'espace grâce à des caméras embarquées, sans avoir besoin de capteurs externes dans la pièce",Le casque projette des lasers sur les murs pour mesurer la pièce,Le suivi est géré par un ordinateur externe via un câble,Le système suit les mouvements des yeux à l'intérieur du casque,Les manettes envoient des signaux infrarouges vers le sol,Le casque nécessite l'installation de stations de base (Lighthouses) aux coins de la pièce
À quoi servent les stations de base (Lighthouses) du système de tracking SteamVR (utilisées par le HTC Vive ou Valve Index) ?,À balayer la pièce avec des lasers infrarouges pour que le casque et les manettes calculent leur propre position,À filmer l'utilisateur avec des caméras haute résolution pour la capture de mouvement,À amplifier le signal Wi-Fi pour jouer sans câble,À projeter des hologrammes sur les murs de la pièce,À générer de l'air conditionné pour refroidir le joueur,À recharger les manettes sans fil par induction à distance
Qu'est-ce que le 'Passthrough' (ou vision réelle) sur un casque comme le Meta Quest ou l'Apple Vision Pro ?,L'affichage du monde réel à l'intérieur du casque via ses caméras externes,La possibilité de traverser les murs virtuels dans un jeu,Un système permettant de prêter son casque sans perdre ses sauvegardes,La conversion d'un jeu 2D classique en jeu VR stéréoscopique,Le fait de pouvoir brancher une clé USB directement sur le casque,L'annulation du bruit environnant par les écouteurs
Qu'est-ce que la 'Cybercinétose' (Motion Sickness en VR) ?,Une sensation de nausée causée par le conflit sensoriel entre la vue (qui perçoit du mouvement) et l'oreille interne (qui reste immobile),Une douleur oculaire due à la lumière bleue des écrans,Un virus informatique qui infecte les casques autonomes,La perte d'équilibre due au poids excessif du casque,Une allergie cutanée causée par les mousses du casque,L'addiction prolongée à des mondes virtuels
"Pour éviter la nausée, quelle est la méthode de déplacement la plus sûre et la plus courante proposée aux débutants dans les jeux VR ?",La téléportation,Le déplacement fluide au joystick (Smooth Locomotion),Le saut virtuel,Le balancement des bras (Arm-swinger),La marche sur place,Le vol libre
"En VR, qu'est-ce que le FoV (Field of View) ?","L'angle de vision (ou champ de vision) mesurable en degrés, déterminant la zone visible par l'utilisateur",Le point central (Focus of Vision) où l'image est la plus nette,La vitesse à laquelle les images défilent (Frames over Velocity),Le retour de force haptique des manettes (Force of Vibration),La profondeur de champ simulée par l'appareil photo virtuel,Le format d'enregistrement des vidéos 360
Quelle est la cible idéale de fréquence de rafraîchissement (FPS) pour une expérience VR confortable et fluide ?,Au moins 90 Hz (ou 90 FPS),24 FPS (comme au cinéma),30 FPS,60 FPS,400 FPS,15 FPS
Que mesure la latence 'Motion-to-Photon' ?,Le temps écoulé entre un mouvement physique de l'utilisateur et l'affichage de l'image correspondante sur l'écran du casque,La vitesse de téléchargement d'un jeu VR,Le délai de transmission du son spatialisé,Le temps d'allumage des pixels OLED,La durée de vie de la batterie en mode jeu intensif,La vitesse à laquelle les rayons lumineux traversent les lentilles de Fresnel
Quel principe optique permet à la VR de donner une illusion de profondeur (3D) ?,La stéréoscopie (afficher une image légèrement différente pour chaque œil),Le Ray Tracing,Le Parallaxe,La perspective isométrique,L'anti-aliasing MSAA,La distorsion en barillet
Qu'est-ce que le 'Foveated Rendering' (Rendu fovéal) ?,"Une technique qui rend l'image en haute résolution uniquement là où l'utilisateur regarde, et réduit la qualité en périphérie pour économiser des ressources",Le floutage automatique des objets trop proches des yeux,Le calcul des ombres en temps réel via des rayons lumineux,Un algorithme qui assombrit l'écran pour éviter l'éblouissement,La superposition des images réelles et virtuelles,L'agrandissement artificiel du champ de vision
"Pour que le rendu fovéal dynamique fonctionne, de quel capteur matériel le casque doit-il être équipé ?",L'Eye Tracking (suivi oculaire),Le Hand Tracking (suivi des mains),Le LIDAR,Un capteur de fréquence cardiaque,Un microphone stéréo,Un baromètre
"Comment appelle-t-on le type de lentilles, présentant des cercles concentriques striés, très utilisées dans les casques VR (comme le Quest 2) pour réduire leur poids et épaisseur ?",Lentilles de Fresnel,Lentilles Biconvexes,Lentilles Pancake,Lentilles Asphériques,Lentilles Polarisantes,Lentilles Divergentes
"Quelle technologie de lentilles, plus fine, remplace progressivement le Fresnel dans les casques récents (comme le Quest 3 ou le Vision Pro) ?",Lentilles Pancake,Lentilles de contact connectées,Prismes de verre brut,Lentilles concaves à miroirs,Lentilles liquides ajustables,Hologrammes réfractifs
"Quel effet optique inconfortable survient en VR lorsque les yeux convergent sur un objet proche, mais doivent accommoder (faire le point) sur un écran situé à une distance focale fixe (souvent ~2 mètres) ?",Le conflit Vergence-Accommodation (VAC),L'aberration chromatique,La persistance rétinienne,L'astigmatisme virtuel,Le décalage Doppler,L'effet Moiré
"En programmation 3D (et VR), quel outil mathématique est utilisé à la place des angles d'Euler pour éviter le problème du 'Gimbal Lock' lors des rotations ?",Les Quaternions,Les Vecteurs 2D,Les Matrices d'identité,Les Nombres complexes,Les Splines de Bézier,La transformée de Fourier
"Quel moteur de jeu multiplateforme, programmé en C#, est historiquement le plus utilisé pour développer la majorité des jeux et expériences VR ?",Unity,Unreal Engine,Godot,CryEngine,Source Engine,Frostbite
"Dans le moteur Unreal Engine (C++), quel système nodal est massivement utilisé par les développeurs VR pour programmer la logique sans écrire de code texte ?",Les Blueprints,Les Shaders,Les Prefabs,Le Visual Studio,Les Macros,Les Gizmos
Qu'est-ce qu'un 'Collider' dans un moteur physique 3D ?,Une forme géométrique invisible attachée à un objet pour détecter les collisions physiques avec d'autres objets,Un matériau qui donne une couleur brillante à l'objet,Un script qui fait tourner l'objet sur lui-même,La caméra principale qui suit le joueur,Le système qui charge les sons 3D dans l'espace,Un outil pour lier deux os d'un squelette d'animation
Quel standard API ouvert (géré par The Khronos Group) permet aux développeurs de créer des applications VR compatibles avec tous les casques sans avoir à coder pour chaque marque ?,OpenXR,DirectX 12,Vulkan,OpenGL,WebVR,CUDA
"Dans le développement VR, qu'est-ce que le 'Raycasting' (Lancer de rayon) ?",Tirer un rayon invisible depuis la manette pour détecter les objets pointés (pour sélectionner ou se téléporter),Une technique de rendu graphique pour créer des reflets réalistes sur l'eau,Le fait d'éclairer la scène avec un soleil virtuel,La désactivation des objets invisibles pour la caméra (Culling),Un algorithme de calcul de trajectoire pour l'IA des ennemis,Le transfert d'un objet d'une main à l'autre
