question,bonne_reponse,mauvaise_reponse1,mauvaise_reponse2,mauvaise_reponse3,mauvaise_reponse4,mauvaise_reponse5
Qui est considérée comme la première programmeuse de l'histoire de l'informatique ?,Ada Lovelace,Grace Hopper,Margaret Hamilton,Hedy Lamarr,Katherine Johnson,Joan Clarke
Qui a inventé le World Wide Web (WWW) en 1989 au CERN ?,Tim Berners-Lee,Bill Gates,Steve Jobs,Vint Cerf,Marc Andreessen,Linus Torvalds
Quel événement est à l'origine du terme 'Bug' informatique (bien que le terme existait déjà en ingénierie) ?,La découverte d'une mite (papillon de nuit) coincée dans un relais de l'ordinateur Mark II par Grace Hopper,Un court-circuit causé par une souris dans l'ENIAC,Une erreur de frappe 'b' au lieu de 'p' dans le code source d'Unix,Le nom du premier virus informatique créé en 1971,Une blague d'Alan Turing sur les insectes,L'acronyme de 'Binary User Glitch'
"Qui est le créateur principal du noyau Linux, publié pour la première fois en 1991 ?",Linus Torvalds,Richard Stallman,Ken Thompson,Dennis Ritchie,Bill Joy,Mark Shuttleworth
Quelle loi empirique prédisait que le nombre de transistors sur une puce doublerait environ tous les deux ans ?,La loi de Moore,La loi de Murphy,La loi de Metcalfe,La loi d'Amdahl,La loi de Turing,La loi de Shannon
"Quel était le nom du réseau précurseur d'Internet, financé par le département de la Défense des États-Unis ?",ARPANET,MILNET,NSFNET,CYCLADES,Minitel,Skynet
En quelle année le premier iPhone a-t-il été présenté par Steve Jobs ?,2007,2005,2006,2008,2009,2010
Qui a fondé le mouvement du logiciel libre (Free Software Movement) et le projet GNU ?,Richard Stallman,Linus Torvalds,Eric S. Raymond,Aaron Swartz,Steve Wozniak,John Carmack
Quelle entreprise a créé le premier microprocesseur commercialisé (le 4004) en 1971 ?,Intel,IBM,AMD,Texas Instruments,Motorola,Fairchild Semiconductor
Qui est crédité de la création du langage de programmation C ?,Dennis Ritchie,Bjarne Stroustrup,James Gosling,Guido van Rossum,Brian Kernighan,Ken Thompson
Que signifie l'acronyme 'CAPTCHA' ?,Completely Automated Public Turing test to tell Computers and Humans Apart,Computer Algorithm Protecting The Cyber Human Access,Code Application to Prevent Trolls and Cyber Hackers Actions,Cognitive Analysis Program Testing Human Actions,Cyber Automated Protection To Control Human Access,Coded Authentication Process To Check Human Activity
D'où vient le mot 'Spam' désignant les courriers indésirables ?,D'un sketch humoristique des Monty Python mettant en scène du jambon en boîte,C'est l'acronyme de 'Systematic Persistant Annoying Mails',Du nom du premier virus d'email (le ver Spam),D'une marque de logiciel publicitaire des années 90,De 'Spatter Mail' (courrier éclaboussé),D'un bouton défectueux sur les premiers claviers IBM
"En culture web, qu'est-ce que le 'Rickrolling' ?",Piéger quelqu'un en lui envoyant un lien qui mène vers le clip de 'Never Gonna Give You Up' de Rick Astley,Une attaque DDoS utilisant des requêtes HTTP synchronisées,Le fait de modifier la page Wikipédia d'une célébrité,Une méthode pour contourner un pare-feu en faisant 'rouler' l'IP,Créer de faux comptes sur des forums pour relancer des débats,Faire défiler une page web infiniment sans trouver la fin
Que stipule la fameuse 'Règle 34' (Rule 34) d'Internet ?,"Si quelque chose existe, il y en a du porno sur Internet (If it exists, there is porn of it)",Tout débat sur internet finit par une comparaison avec Hitler,Ne jamais donner ses vrais noms et prénoms sur un forum,Le nombre de mèmes double chaque année,Il y a toujours quelqu'un qui a le même mot de passe que vous,Les données supprimées ne disparaissent jamais vraiment
Que signifie le sigle 'RTFM' souvent employé dans les communautés de développeurs ?,Read The Fucking Manual (Lis le foutu manuel),Return To First Module (Retour au premier module),Read The Free Message (Lis le message gratuit),Reboot The Firewall Machine (Redémarre le pare-feu),Ready To Format Memory (Prêt à formater la mémoire),Release The Full Master (Publie la version finale)
Quelle erreur HTTP célèbre signifie que la ressource demandée est introuvable ?,Erreur 404,Erreur 403,Erreur 500,Erreur 200,Erreur 302,Erreur 418
Quel pseudonyme a été utilisé par le ou les créateurs inconnus du Bitcoin ?,Satoshi Nakamoto,Hal Finney,Vitalik Buterin,Dread Pirate Roberts,Craig Wright,Nick Szabo
Que signifie 'AFK' dans le jargon du jeu vidéo et des chats ?,Away From Keyboard (Loin du clavier),A Free Kill (Une cible facile),Always For Kicks (Toujours pour le fun),Aiming For King (Viser la première place),Asking For Key (Demande de mot de passe),Automated Fight Kombat (Combat automatique)
Le terme 'Troll' sur Internet désigne :,Une personne qui crée volontairement des polémiques ou provoque les autres pour générer des conflits,Un programme qui aspire les emails d'un site web,Une faille de sécurité très ancienne non corrigée,Un modérateur de forum bénévole,Le serveur central d'un jeu multijoueur,Un bot qui répond automatiquement sur Twitter
"Dans le protocole HTTP, quel code a été défini comme une blague du poisson d'avril en 1998 et signifie 'Je suis une théière' ?",418 I'm a teapot,404 Not a cup,505 Coffee Time,300 Boiling Water,204 No Sugar,600 Too Hot
Qu'est-ce que l'Epoch en informatique (particulièrement sur les systèmes Unix) ?,La date de référence (1er janvier 1970 à 00:00:00 UTC) à partir de laquelle le temps est mesuré en secondes,Le secteur d'amorçage principal d'un disque dur (MBR),L'instant précis où un ordinateur s'allume,Le premier paquet de données envoyé sur ARPANET,L'adresse mémoire 0x00000000,L'instant de la compilation du noyau de l'OS
Quel nom porte la mascotte de Linux (le pingouin) ?,Tux,Pingu,Linny,Gnu,Bash,Sudo
Quelle célèbre distribution Linux tire son nom d'un mot africain signifiant 'Je suis ce que je suis grâce à ce que nous sommes tous' ?,Ubuntu,Debian,Fedora,Arch Linux,Kali,Mint
Que signifie le fameux BSoD sous Windows ?,Blue Screen of Death (Écran bleu de la mort),Basic System of Diagnostics (Système basique de diagnostic),Boot Sector Over-Driven (Secteur d'amorçage surchargé),Binary System on Disk (Système binaire sur disque),Big Server of Data (Gros serveur de données),Bug Software over Device (Logiciel buggé sur l'appareil)
"Kevin Mitnick, l'un des hackers les plus célèbres des années 90, était surtout connu pour son expertise en :",Social Engineering (Ingénierie sociale),Développement de Ransomwares,Création de vers informatiques,Minage de cryptomonnaies clandestin,Attaques par force brute sur des cartes Wi-Fi,Injection SQL dans les bases de données bancaires
"Quel était le nom du premier ver informatique (worm) diffusé à grande échelle sur internet en 1988, paralysant une grande partie du réseau ?",Le ver Morris,ILOVEYOU,MyDoom,Stuxnet,Conficker,Blaster
Qu'est-ce que 'GIMP' dans le monde de l'open source ?,"Un puissant éditeur d'images (GNU Image Manipulation Program), souvent vu comme l'alternative libre à Photoshop",Un langage de script pour serveurs web,Un gestionnaire de paquets sous Linux,Un protocole de transfert de fichiers sécurisé,Un outil d'analyse de trafic réseau,Un moteur de jeu 3D gratuit
